feature,category,count,median_future_return_60m,mean_future_return_60m,positive_rate_60m,median_mfe_atr,median_mae_atr,stop_first_rate,tp_first_rate,meets_min_count
hour,0,327,-0.0009765086230676,-0.0014250476411038825,0.43730886850152906,2.283840592499242,3.2965894050628552,0.7370030581039755,0.2599388379204893,True
hour,1,311,-0.0006602500784046,-0.000464652601639662,0.42443729903536975,2.6310424767627967,2.8879263382658493,0.6720257234726688,0.3183279742765273,True
hour,10,282,-0.0005976795580289499,-0.0010843299648710296,0.4397163120567376,2.6926333191531344,2.8638255063010436,0.6702127659574468,0.3262411347517731,True
hour,11,267,3.43224229342985e-05,-0.00037313697089217627,0.5056179775280899,2.6885603128705706,2.8559069283084506,0.6891385767790262,0.29213483146067415,True
hour,12,261,-0.0006479041916168,-0.001174770570821572,0.41379310344827586,2.7961515879168535,3.0550162371459675,0.6590038314176245,0.3371647509578544,True
hour,13,230,-0.0008247381127238,-0.0013975324976238331,0.41304347826086957,2.2718419598655166,3.246652295401182,0.6391304347826087,0.34782608695652173,True
hour,14,216,-0.00021226270140609998,-0.0005506604510951522,0.46296296296296297,2.299167425401647,2.694206549787101,0.6805555555555556,0.3148148148148148,True
hour,15,191,-0.0003261104154721,-0.0009029196164872086,0.46596858638743455,3.054741251006399,3.2331514079141566,0.6020942408376964,0.39267015706806285,True
hour,16,173,-0.0006633583793643,-0.0013609740591716522,0.37572254335260113,1.8775989674032212,2.778811505426862,0.7572254335260116,0.2254335260115607,True
hour,17,145,-0.0008097769524596,-0.001594406611224817,0.43448275862068964,2.7878165796049403,2.8867572242810495,0.6206896551724138,0.35172413793103446,True
hour,18,106,-0.00089419706122335,-0.0015277462104846082,0.3584905660377358,1.7658478346150592,3.2895603499454373,0.7169811320754716,0.27358490566037735,True
hour,19,95,-0.0004125298521137,-0.001176835944618843,0.4,1.6687220253741566,3.237455944692841,0.6947368421052632,0.30526315789473685,True
hour,2,288,2.5953353173481763e-06,-0.0004130891592686207,0.5,2.469743054217317,2.7960621568075235,0.6944444444444444,0.2916666666666667,True
hour,20,68,-0.0011011968849235,-0.0014938590240831705,0.4117647058823529,3.0483962750268265,3.474850528761296,0.7205882352941176,0.27941176470588236,True
hour,21,90,-0.0008872093274796,-0.001450628536438973,0.4222222222222222,1.8127248776559581,3.873053838255566,0.7444444444444445,0.24444444444444444,True
hour,22,62,-0.0006457983969202501,-0.0008058595328092837,0.46774193548387094,2.505330567621177,2.7336405787067273,0.6935483870967742,0.3064516129032258,True
hour,23,34,-0.0008961636688571,-0.002197782125867121,0.29411764705882354,2.6315853836071685,2.918165360610462,0.8235294117647058,0.17647058823529413,False
hour,3,304,-0.00103008958154835,-0.0017002941414698777,0.3815789473684211,2.1557982820641417,3.1497155452706025,0.6743421052631579,0.3157894736842105,True
hour,4,299,-0.0009731671620132,-0.0013997808878466191,0.38127090301003347,2.075095332427001,3.187008632765389,0.6923076923076923,0.2909698996655518,True
hour,5,322,-0.0005035468585371,-0.0007320103530199675,0.422360248447205,2.678825247614739,3.2679024001137824,0.6677018633540373,0.32298136645962733,True
hour,6,312,0.00013078344569709998,3.0308743063181222e-05,0.5128205128205128,2.6261484416804786,2.7611976689039257,0.6378205128205128,0.34935897435897434,True
hour,7,308,-0.0006814873885055499,-0.0009991932439390406,0.41883116883116883,3.070881767958692,3.2171008852894842,0.6233766233766234,0.37337662337662336,True
hour,8,316,-0.00107833708187785,-0.0016349437694234974,0.379746835443038,2.869108650104728,3.5611379600188156,0.6867088607594937,0.310126582278481,True
hour,9,288,-0.0008654233051881,-0.001422935639883974,0.3819444444444444,2.4184450132298,3.2483035271712586,0.6666666666666666,0.3298611111111111,True
weekday,0,768,-0.00048807289704069995,-0.0010715826485139263,0.4440104166666667,2.7347700135685473,2.999138048650594,0.65234375,0.3411458333333333,True
weekday,1,778,-0.00042114607019165,-0.0006994543863879482,0.45629820051413883,2.669110782519186,3.077501393969276,0.6683804627249358,0.32519280205655526,True
weekday,2,765,-0.0005597014925372,-0.0010128750513850521,0.4418300653594771,2.4209816499532595,3.005926287239987,0.6980392156862745,0.2980392156862745,True
weekday,3,754,-0.00047612794789495,-0.0007837131941721461,0.4588859416445623,2.6501619453027963,3.0784856999041343,0.6790450928381963,0.3196286472148541,True
weekday,4,776,-0.0005799991283343,-0.0009914713715366789,0.4381443298969072,2.597747944066911,2.967106479979557,0.6701030927835051,0.31958762886597936,True
weekday,5,744,-0.0006819181832726,-0.0011576482061020036,0.3924731182795699,2.1871536999551586,3.2712808453818694,0.6881720430107527,0.29301075268817206,True
weekday,6,710,-0.0008920164327523,-0.0016673387458338046,0.35492957746478876,2.0484876665900416,3.511602421823749,0.6788732394366197,0.3056338028169014,True
is_weekend,False,3841,-0.0005011823847492,-0.0009118203420193556,0.44780005206977347,2.6144295722896453,3.012171480905388,0.6735225201770372,0.3207498047383494,True
is_weekend,True,1454,-0.00077841979599195,-0.0014065342330687016,0.3741403026134801,2.143524519704145,3.4041883944805367,0.6836313617606602,0.29917469050894085,True
direction,long,2893,-0.0004979124875879,-0.0008766737704600813,0.43449706187348774,2.3715462771882154,2.9294996141487633,0.6909782232976149,0.2996889042516419,True
direction,short,2402,-0.00081172364755585,-0.0012536159411478862,0.4192339716902581,2.6884577901996027,3.3269890715142627,0.6586178184845962,0.33305578684429643,True
regime,long,2893,-0.0004979124875879,-0.0008766737704600813,0.43449706187348774,2.3715462771882154,2.9294996141487633,0.6909782232976149,0.2996889042516419,True
regime,short,2402,-0.00081172364755585,-0.0012536159411478862,0.4192339716902581,2.6884577901996027,3.3269890715142627,0.6586178184845962,0.33305578684429643,True
