feature,target,count,spearman,abs_spearman
breakout_distance_atr,future_return_15m,5295,-0.17529725029569648,0.17529725029569648
breakout_distance_atr,future_return_30m,5295,-0.1672762690711999,0.1672762690711999
breakout_distance_atr,future_return_60m,5295,-0.1464083662559469,0.1464083662559469
breakout_distance_atr,future_return_120m,5295,-0.10952562585425189,0.10952562585425189
breakout_distance_atr,mfe_atr,5295,0.024744208263034913,0.024744208263034913
breakout_distance_atr,mae_atr,5295,0.2126650476331195,0.2126650476331195
atr_pct,future_return_15m,5295,-0.20924283267117597,0.20924283267117597
atr_pct,future_return_30m,5295,-0.20209662410767393,0.20209662410767393
atr_pct,future_return_60m,5295,-0.18634110031930398,0.18634110031930398
atr_pct,future_return_120m,5295,-0.16370472530775035,0.16370472530775035
atr_pct,mfe_atr,5295,-0.2656389081862354,0.2656389081862354
atr_pct,mae_atr,5295,-0.09761898187744814,0.09761898187744814
ema_spread_pct,future_return_15m,5295,0.03204994370522992,0.03204994370522992
ema_spread_pct,future_return_30m,5295,0.021788888956778794,0.021788888956778794
ema_spread_pct,future_return_60m,5295,0.02265725577177456,0.02265725577177456
ema_spread_pct,future_return_120m,5295,0.015347877514235879,0.015347877514235879
ema_spread_pct,mfe_atr,5295,-0.02003757035341886,0.02003757035341886
ema_spread_pct,mae_atr,5295,-0.02593368068142076,0.02593368068142076
rsi,future_return_15m,5295,0.016894210169110906,0.016894210169110906
rsi,future_return_30m,5295,0.012104536017397461,0.012104536017397461
rsi,future_return_60m,5295,0.01901148518230884,0.01901148518230884
rsi,future_return_120m,5295,0.020361142556213883,0.020361142556213883
rsi,mfe_atr,5295,-0.013730421525366009,0.013730421525366009
rsi,mae_atr,5295,-0.018178021874584498,0.018178021874584498
donchian_width_atr,future_return_15m,5295,0.022051612159151527,0.022051612159151527
donchian_width_atr,future_return_30m,5295,0.020683477106059035,0.020683477106059035
donchian_width_atr,future_return_60m,5295,0.01603009927068589,0.01603009927068589
donchian_width_atr,future_return_120m,5295,0.010906861509470343,0.010906861509470343
donchian_width_atr,mfe_atr,5295,0.15801844583845845,0.15801844583845845
donchian_width_atr,mae_atr,5295,0.1769047968795683,0.1769047968795683
close_location_in_donchian,future_return_15m,5289,,
close_location_in_donchian,future_return_30m,5289,,
close_location_in_donchian,future_return_60m,5289,,
close_location_in_donchian,future_return_120m,5289,,
close_location_in_donchian,mfe_atr,5289,,
close_location_in_donchian,mae_atr,5289,,
recent_return_5m,future_return_15m,5295,-0.033259488807926924,0.033259488807926924
recent_return_5m,future_return_30m,5295,-0.05407652185378269,0.05407652185378269
recent_return_5m,future_return_60m,5295,-0.0598231360045304,0.0598231360045304
recent_return_5m,future_return_120m,5295,-0.05804601090946553,0.05804601090946553
recent_return_5m,mfe_atr,5295,0.08597173172817009,0.08597173172817009
recent_return_5m,mae_atr,5295,-0.027422997532469923,0.027422997532469923
recent_return_15m,future_return_15m,5295,-0.056137684635813576,0.056137684635813576
recent_return_15m,future_return_30m,5295,-0.06098045786379173,0.06098045786379173
recent_return_15m,future_return_60m,5295,-0.07232749861369508,0.07232749861369508
recent_return_15m,future_return_120m,5295,-0.06965173450927374,0.06965173450927374
recent_return_15m,mfe_atr,5295,0.06633069681196939,0.06633069681196939
recent_return_15m,mae_atr,5295,0.0016051194217834384,0.0016051194217834384
recent_return_30m,future_return_15m,5295,-0.11297879679088331,0.11297879679088331
recent_return_30m,future_return_30m,5295,-0.12845843260601947,0.12845843260601947
recent_return_30m,future_return_60m,5295,-0.11582343097777348,0.11582343097777348
recent_return_30m,future_return_120m,5295,-0.10485365021376593,0.10485365021376593
recent_return_30m,mfe_atr,5295,0.023556397869352548,0.023556397869352548
recent_return_30m,mae_atr,5295,0.07382744652937304,0.07382744652937304
recent_volatility_30m,future_return_15m,5295,-0.23933915411798115,0.23933915411798115
recent_volatility_30m,future_return_30m,5295,-0.23479774115049737,0.23479774115049737
recent_volatility_30m,future_return_60m,5295,-0.21806364705029435,0.21806364705029435
recent_volatility_30m,future_return_120m,5295,-0.19748652455240587,0.19748652455240587
recent_volatility_30m,mfe_atr,5295,-0.1858157963398452,0.1858157963398452
recent_volatility_30m,mae_atr,5295,0.029979642557683688,0.029979642557683688
volume_zscore_30m,future_return_15m,5295,-0.06637102874977144,0.06637102874977144
volume_zscore_30m,future_return_30m,5295,-0.08886637579144528,0.08886637579144528
volume_zscore_30m,future_return_60m,5295,-0.08920938313803194,0.08920938313803194
volume_zscore_30m,future_return_120m,5295,-0.07259898042160975,0.07259898042160975
volume_zscore_30m,mfe_atr,5295,0.05357998929528435,0.05357998929528435
volume_zscore_30m,mae_atr,5295,0.08175616043111282,0.08175616043111282
upper_wick_ratio,future_return_15m,5286,0.05451581883435143,0.05451581883435143
upper_wick_ratio,future_return_30m,5286,0.057669320468737816,0.057669320468737816
upper_wick_ratio,future_return_60m,5286,0.04962524542034511,0.04962524542034511
upper_wick_ratio,future_return_120m,5286,0.04579111731436936,0.04579111731436936
upper_wick_ratio,mfe_atr,5286,0.05959783223062473,0.05959783223062473
upper_wick_ratio,mae_atr,5286,-0.056754751940748756,0.056754751940748756
lower_wick_ratio,future_return_15m,5286,0.07354115642710488,0.07354115642710488
lower_wick_ratio,future_return_30m,5286,0.0697399146719745,0.0697399146719745
lower_wick_ratio,future_return_60m,5286,0.059758648773252175,0.059758648773252175
lower_wick_ratio,future_return_120m,5286,0.0556035227388665,0.0556035227388665
lower_wick_ratio,mfe_atr,5286,-0.06058352256404102,0.06058352256404102
lower_wick_ratio,mae_atr,5286,-0.13069202127749643,0.13069202127749643
body_ratio,future_return_15m,5286,-0.10412884997187127,0.10412884997187127
body_ratio,future_return_30m,5286,-0.0961333916575935,0.0961333916575935
body_ratio,future_return_60m,5286,-0.07825554674108721,0.07825554674108721
body_ratio,future_return_120m,5286,-0.07014351647661149,0.07014351647661149
body_ratio,mfe_atr,5286,0.036384808110480546,0.036384808110480546
body_ratio,mae_atr,5286,0.14629070528056842,0.14629070528056842
range_atr,future_return_15m,5295,-0.09996120919406612,0.09996120919406612
range_atr,future_return_30m,5295,-0.11359544647365102,0.11359544647365102
range_atr,future_return_60m,5295,-0.10601623973618225,0.10601623973618225
range_atr,future_return_120m,5295,-0.08560232849588073,0.08560232849588073
range_atr,mfe_atr,5295,-0.007868082008361853,0.007868082008361853
range_atr,mae_atr,5295,0.08268497796649199,0.08268497796649199
